,A,B,C,D1,D2,D3,D4,D5,E1,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F34,F35,G,H
138,2.5,3.52,E,305,1467,,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,98,1.83,1.83,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
139,2.8,4.4,E,305,1467,,1.4,10.66,A,0.5,0.53,2.78,20,6,8,98,1.81,1.81,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
140,2.8,4.51,E,305,1467,,7,10.75,A,0.5,0.54,2.81,20,6,8,98,1.8,1.8,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
141,4.6,4.79,E,305,1467,,4.7,10.87,A,0.5,0.54,2.85,20,6,8,98,1.79,1.79,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
142,4.8,4.94,E,305,1467,,13.7,10.99,A,0.5,0.55,2.89,20,6,8,98,1.77,1.77,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
143,3.8,4.6,E,305,1467,,6.8,11.15,A,0.5,0.55,2.93,20,6,8,98,1.75,1.75,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
144,2.9,4.89,E,305,1467,,11.8,11.31,A,0.5,0.55,2.97,20,6,8,98,1.72,1.72,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
145,4.5,4.54,E,305,1467,,9.5,11.49,A,0.5,0.56,3.01,20,6,8,98,1.7,1.7,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
146,1.1,4.54,E,305,1467,,9.5,11.64,A,0.5,0.56,3.05,20,6,8,98,1.67,1.67,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
147,3.2,4.45,E,305,1467,,6.9,11.83,A,0.5,0.57,3.09,20,6,8,98,1.65,1.65,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
148,4.9,4.65,E,305,1467,,5,11.99,A,0.5,0.57,3.04,20,6,8,98,1.62,1.62,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
149,1.7,4.24,E,305,1467,,9.7,12.15,A,0.5,0.58,3,20,6,8,98,1.6,1.6,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
150,1.8,4.01,E,305,1467,,5.2,12.33,A,0.5,0.58,2.95,20,6,8,98,1.58,1.58,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
151,2.5,3.86,E,305,1467,,8,12.5,A,0.5,0.59,2.91,20,6,8,98,1.56,1.56,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
152,0.6,3.74,E,305,1467,,11,12.67,A,0.5,0.59,2.86,20,6,8,98,1.54,1.54,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
153,3.1,3.57,E,305,1467,,11.5,12.85,A,0.5,0.6,2.77,20,6,8,98,1.52,1.52,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
154,1.5,3.72,E,305,1467,,9.8,13.1,A,0.5,0.79,2.68,20,6,8,98,1.51,1.51,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
155,2.8,3.5,E,305,1467,,14,13.2,A,0.5,0.89,2.64,20,6,8,98,1.49,1.49,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
156,2.4,3.54,E,305,1467,,11.5,13.35,A,0.5,0.98,2.59,20,6,8,98,1.48,1.48,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
157,2,3.4,E,305,1467,,16.8,13.52,A,0.5,1.08,2.54,20,6,8,98,1.47,1.47,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
158,0.9,3.24,E,305,1467,,11.9,13.72,A,0.5,1.27,2.45,20,6,8,98,1.45,1.45,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
159,1.5,3.18,E,305,1467,,10.1,13.96,A,0.5,1.36,2.41,20,6,8,98,1.44,1.44,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
160,2.7,2.82,E,305,1467,,16.5,14.2,A,0.5,1.46,2.36,20,6,8,98,1.42,1.42,2.06,10993,40.88,109,1.5,0,1.08,0,85,1,E
