A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
2.5,3.19,249,1411,5.0,11.99,0.5,0.57,3.04,20,6,8,42,1.62,0.57,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.6,2.77,249,1411,9.7,12.15,0.5,0.58,3.0,20,6,8,42,1.6,0.56,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.6,2.63,249,1411,5.2,12.33,0.5,0.58,2.95,20,6,8,42,1.58,0.55,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7,2.57,249,1411,8.0,12.5,0.5,0.59,2.91,20,6,8,42,1.56,0.54,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.7,2.36,249,1411,11.0,12.67,0.5,0.59,2.86,20,6,8,42,1.54,0.54,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.8,2.21,249,1411,11.5,12.85,0.5,0.6,2.77,20,6,8,42,1.52,0.53,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2.21,249,1411,9.8,13.1,0.5,0.79,2.68,20,6,8,42,1.51,0.53,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.3,2.08,249,1411,14.0,13.2,0.5,0.89,2.64,20,6,8,42,1.49,0.52,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.8,2.13,249,1411,11.5,13.35,0.5,0.98,2.59,20,6,8,42,1.48,0.51,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7,2.17,249,1411,16.8,13.52,0.5,1.08,2.54,20,6,8,42,1.47,0.51,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
